date,store_number,store_name,city,county,sales
2022-02-06,2651,Hy-Vee / Waverly,Waverly,BREMER,27513.69
2022-01-09,2591,Hy-Vee Wine and Spirits / Atlantic,Atlantic,CASS,9577.72
2022-01-16,2591,Hy-Vee Wine and Spirits / Atlantic,Atlantic,CASS,3221.19
2022-01-23,2591,Hy-Vee Wine and Spirits / Atlantic,Atlantic,CASS,20435.35
2022-01-30,2591,Hy-Vee Wine and Spirits / Atlantic,Atlantic,CASS,6936.09
2022-02-06,2591,Hy-Vee Wine and Spirits / Atlantic,Atlantic,CASS,18932.13
2022-01-09,2587,Hy-Vee Food Store / Johnston,Johnston,POLK,14766.77
2022-01-16,2587,Hy-Vee Food Store / Johnston,Johnston,POLK,16726.42
2022-01-23,2587,Hy-Vee Food Store / Johnston,Johnston,POLK,16925.7
2022-01-30,2587,Hy-Vee Food Store / Johnston,Johnston,POLK,19101.09
2022-02-06,2587,Hy-Vee Food Store / Johnston,Johnston,POLK,21030.56
2022-01-09,2130,Sycamore Convenience,Waterloo,BLACK HAWK,20759.76
2022-01-16,2130,Sycamore Convenience,Waterloo,BLACK HAWK,27707.24
2022-01-23,2130,Sycamore Convenience,Waterloo,BLACK HAWK,23878.14
2022-01-30,2130,Sycamore Convenience,Waterloo,BLACK HAWK,20581.74
2022-02-06,2130,Sycamore Convenience,Waterloo,BLACK HAWK,32288.16
2022-01-09,3494,Sam's Club 6514 / Waterloo,Waterloo,BLACK HAWK,62806.14
2022-01-16,3494,Sam's Club 6514 / Waterloo,Waterloo,BLACK HAWK,8755.38
2022-01-23,3494,Sam's Club 6514 / Waterloo,Waterloo,BLACK HAWK,41556.42
2022-01-30,3494,Sam's Club 6514 / Waterloo,Waterloo,BLACK HAWK,16654.36
2022-02-06,3494,Sam's Club 6514 / Waterloo,Waterloo,BLACK HAWK,21941.4
2022-01-09,2571,Hy-Vee Food Store #2 / Waterloo,Waterloo,BLACK HAWK,13932.08
2022-01-16,2571,Hy-Vee Food Store #2 / Waterloo,Waterloo,BLACK HAWK,6998.73
